,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
100,2020-04-10,63052.979267262424,63349.60428497893,68414.59263708701,63052.97926726243,63052.97926726243,2776.8088374244503,2776.8088374244503,2776.8088374244503,2776.8088374244503,2776.8088374244503,2776.8088374244503,0.0,0.0,0.0,65829.78810468687
101,2020-04-11,64174.49127125217,65814.00229199836,71154.9100909966,64174.49127125218,64174.49127125218,4688.981465964472,4688.981465964472,4688.981465964472,4688.981465964472,4688.981465964472,4688.981465964472,0.0,0.0,0.0,68863.47273721664
102,2020-04-12,65296.003275241914,65627.44504763707,70456.80668235687,65296.003275241914,65296.003275241914,2834.6951470769095,2834.6951470769095,2834.6951470769095,2834.6951470769095,2834.6951470769095,2834.6951470769095,0.0,0.0,0.0,68130.69842231882
103,2020-04-13,66417.51527923165,59143.917200496755,65377.91800227797,66417.51527923165,66417.51527923165,-4367.964914437505,-4367.964914437505,-4367.964914437505,-4367.964914437505,-4367.964914437505,-4367.964914437505,0.0,0.0,0.0,62049.550364794144
104,2020-04-14,67539.02728322137,58568.99018645684,63506.70733040251,67539.02728322137,67539.02728322137,-6268.784123026416,-6268.784123026416,-6268.784123026416,-6268.784123026416,-6268.784123026416,-6268.784123026416,0.0,0.0,0.0,61270.24316019495
105,2020-04-15,68566.07204419088,64153.067104912596,69580.89835066345,68566.07204419088,68566.07204419088,-1659.1291157355315,-1659.1291157355315,-1659.1291157355315,-1659.1291157355315,-1659.1291157355315,-1659.1291157355315,0.0,0.0,0.0,66906.94292845535
106,2020-04-16,69593.11680516037,68365.86988679384,73520.05690622024,69593.11680516037,69593.11680516037,1995.392702730319,1995.392702730319,1995.392702730319,1995.392702730319,1995.392702730319,1995.392702730319,0.0,0.0,0.0,71588.50950789069
107,2020-04-17,70620.16156612986,70800.23172669476,76103.35670477852,70620.16156612986,70620.16156612986,2776.808837424735,2776.808837424735,2776.808837424735,2776.808837424735,2776.808837424735,2776.808837424735,0.0,0.0,0.0,73396.97040355459
108,2020-04-18,71647.20632709937,73638.00227636378,78896.9830467674,71647.20632709937,71647.20632709937,4688.981465964063,4688.981465964063,4688.981465964063,4688.981465964063,4688.981465964063,4688.981465964063,0.0,0.0,0.0,76336.18779306344
109,2020-04-19,72674.25108806886,72989.46027022385,77760.30784704111,72674.25108806886,72674.25108806886,2834.695147072161,2834.695147072161,2834.695147072161,2834.695147072161,2834.695147072161,2834.695147072161,0.0,0.0,0.0,75508.94623514102
110,2020-04-20,73701.29584903836,66771.483200327,71571.0079493905,73701.29584903836,73701.29584903836,-4367.964914442279,-4367.964914442279,-4367.964914442279,-4367.964914442279,-4367.964914442279,-4367.964914442279,0.0,0.0,0.0,69333.33093459609
